NM_UE;NR_CANDIDATO;NM_CANDIDATO;DS_SITUACAO_CANDIDATURA;DS_DETALHE_SITUACAO_CAND;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;DT_NASCIMENTO;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;DS_OCUPACAO;DS_SIT_TOT_TURNO
CURITIBA;27789;IZAEL AQUINO DA SILVA;APTO;DEFERIDO;PARTIDO ISOLADO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PARTIDO ISOLADO;PSDC;25/12/1971 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;SEPARADO(A) JUDICIALMENTE;BRANCA;AGENTE ADMINISTRATIVO;SUPLENTE
CURITIBA;19159;NEILDES ARAGÃO DA ROCHA;APTO;DEFERIDO;PARTIDO ISOLADO;19;PTN;PARTIDO TRABALHISTA NACIONAL;PARTIDO ISOLADO;PTN;29/12/1959 00:00;FEMININO;ENSINO MÉDIO COMPLETO;VIÚVO(A);BRANCA;PROFESSOR DE ENSINO FUNDAMENTAL;SUPLENTE
CURITIBA;29333;CARLOS MARIO ANYZEWSKI;APTO;DEFERIDO;PARTIDO ISOLADO;29;PCO;PARTIDO DA CAUSA OPERÁRIA;PARTIDO ISOLADO;PCO;30/04/1972 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;AGENTE POSTAL;NÃO ELEITO
CURITIBA;30046;OCLANDIO JOSÉ LISBOA SPRENGER;APTO;DEFERIDO;PARTIDO ISOLADO;30;NOVO;PARTIDO NOVO;PARTIDO ISOLADO;NOVO;27/01/1962 00:00;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);NÃO ELEITO
CURITIBA;27172;VALDEMIR JOSÉ RIBEIRO SCHULCHASKI;APTO;DEFERIDO;PARTIDO ISOLADO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PARTIDO ISOLADO;PSDC;24/10/1965 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;ASTRÔNOMO;SUPLENTE
CURITIBA;11133;DIVONSIR EMANOEL FERREIRA;APTO;DEFERIDO;COLIGAÇÃO;11;PP;PARTIDO PROGRESSISTA;VEREADORES RENOVA CURITIBA;PP / PR / PMB;30/05/1961 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;31001;JOSE FERNANDO IBANEZ;APTO;DEFERIDO;PARTIDO ISOLADO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PARTIDO ISOLADO;PHS;16/06/1971 00:00;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;VETERINÁRIO;NÃO ELEITO
CURITIBA;17225;CLAUDIMI ALVES FERREIRA;APTO;DEFERIDO;PARTIDO ISOLADO;17;PSL;PARTIDO SOCIAL LIBERAL;PARTIDO ISOLADO;PSL;12/05/1975 00:00;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);PRETA;ENCANADOR, SOLDADOR, CHAPEADOR E CALDEIREIRO;NÃO ELEITO
CURITIBA;27111;VALDEMIR DA COSTA LIMA;APTO;DEFERIDO;PARTIDO ISOLADO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PARTIDO ISOLADO;PSDC;01/07/1966 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO MUNICIPAL;SUPLENTE
CURITIBA;36056;MARIA DO SOCORRO ALMEIDA ROSA;APTO;DEFERIDO;COLIGAÇÃO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;CURITIBA MAIS FORTE;PTC / PPL / PC do B;21/09/1960 00:00;FEMININO;SUPERIOR COMPLETO;VIÚVO(A);PRETA;ENFERMEIRO;NÃO ELEITO
CURITIBA;30304;CARLOS ROBERTO OLIVEIRA DE ALMEIDA SANTOS;APTO;DEFERIDO;PARTIDO ISOLADO;30;NOVO;PARTIDO NOVO;PARTIDO ISOLADO;NOVO;03/10/1963 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;NÃO ELEITO
CURITIBA;22888;MARIA HELENA CUDUH;APTO;DEFERIDO;COLIGAÇÃO;22;PR;PARTIDO DA REPÚBLICA;VEREADORES RENOVA CURITIBA;PP / PR / PMB;09/03/1946 00:00;FEMININO;SUPERIOR INCOMPLETO;VIÚVO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);SUPLENTE
CURITIBA;50021;EMERSON LUIZ FORTUNATO;APTO;DEFERIDO;COLIGAÇÃO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;Frente de Esquerda;PSOL / PCB;15/07/1972 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;COMERCIANTE;NÃO ELEITO
CURITIBA;20620;JEFERSON LOUREIRO PEREIRA;APTO;DEFERIDO;PARTIDO ISOLADO;20;PSC;PARTIDO SOCIAL CRISTÃO;PARTIDO ISOLADO;PSC;16/11/1980 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;JORNALISTA E REDATOR;SUPLENTE
CURITIBA;44244;JOÃO CRISTIANO MORO;APTO;DEFERIDO;PARTIDO ISOLADO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PARTIDO ISOLADO;PRP;04/12/1979 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;SUPLENTE
CURITIBA;18000;EDUARDO GUILHERME REINER;APTO;DEFERIDO;COLIGAÇÃO;18;REDE;REDE SUSTENTABILIDADE;CURITIBA JUSTA E SUSTENTAVEL;PMDB / REDE;22/03/1984 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;51100;LUCIANE DE OLIVEIRA MARTINS;APTO;DEFERIDO;PARTIDO ISOLADO;51;PEN;PARTIDO ECOLÓGICO NACIONAL;PARTIDO ISOLADO;PEN;03/07/1975 00:00;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;GERENTE;NÃO ELEITO
CURITIBA;22020;DORVAL AUGUSTO LUIZ DOS SANTOS;APTO;DEFERIDO;COLIGAÇÃO;22;PR;PARTIDO DA REPÚBLICA;VEREADORES RENOVA CURITIBA;PP / PR / PMB;21/07/1969 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;SERVIDOR PÚBLICO FEDERAL;SUPLENTE
CURITIBA;51666;MARLI FERREIRA PINTO;APTO;DEFERIDO;PARTIDO ISOLADO;51;PEN;PARTIDO ECOLÓGICO NACIONAL;PARTIDO ISOLADO;PEN;15/03/1963 00:00;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;DIVORCIADO(A);BRANCA;OUTROS;NÃO ELEITO
CURITIBA;31790;JESSICA RIBAS SUBKOWIAK;INAPTO;RENÚNCIA;PARTIDO ISOLADO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PARTIDO ISOLADO;PHS;31/07/1986 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;#NULO#
CURITIBA;11001;MARCOS DA PAZ FRANCISCO DA SILVA;APTO;DEFERIDO;COLIGAÇÃO;11;PP;PARTIDO PROGRESSISTA;VEREADORES RENOVA CURITIBA;PP / PR / PMB;15/07/1961 00:00;MASCULINO;LÊ E ESCREVE;SOLTEIRO(A);PARDA;NUTRICIONISTA E ASSEMELHADOS;SUPLENTE
CURITIBA;15115;FRANCISCO FLAVIO DE OLIVEIRA;APTO;DEFERIDO;COLIGAÇÃO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;CURITIBA JUSTA E SUSTENTAVEL;PMDB / REDE;10/01/1965 00:00;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;22345;ELIZABETH KOTT;APTO;DEFERIDO;COLIGAÇÃO;22;PR;PARTIDO DA REPÚBLICA;VEREADORES RENOVA CURITIBA;PP / PR / PMB;20/09/1976 00:00;FEMININO;SUPERIOR INCOMPLETO;DIVORCIADO(A);BRANCA;SERVIDOR PÚBLICO MUNICIPAL;SUPLENTE
CURITIBA;55270;MAURICIO SCHULZ;APTO;DEFERIDO;PARTIDO ISOLADO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PARTIDO ISOLADO;PSD;27/05/1990 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRANCA;AGENTE DE SAÚDE E SANITARISTA;SUPLENTE
CURITIBA;40600;ITURIEL INÁCIO PEREIRA DOS SANTOS;APTO;DEFERIDO;COLIGAÇÃO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;CURITIBA, INOVAÇÃO E AMOR - PMN - PSB  e DEM;PMN / PSB / DEM;01/02/1971 00:00;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);PARDA;MOTORISTA PARTICULAR;SUPLENTE
CURITIBA;43800;FABIANO EMILIO RAMOS;APTO;DEFERIDO;PARTIDO ISOLADO;43;PV;PARTIDO VERDE;PARTIDO ISOLADO;PV;18/09/1974 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA;SUPLENTE
CURITIBA;44123;FABIANO DOS SANTOS;APTO;DEFERIDO;PARTIDO ISOLADO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PARTIDO ISOLADO;PRP;20/08/1975 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;CONTADOR;SUPLENTE
CURITIBA;16123;AMANDA COELHO MARZALL;APTO;DEFERIDO;PARTIDO ISOLADO;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;PARTIDO ISOLADO;PSTU;12/08/1995 00:00;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;NÃO ELEITO
CURITIBA;77015;JOSE CARLOS NUNES;APTO;DEFERIDO;PARTIDO ISOLADO;77;SD;SOLIDARIEDADE;PARTIDO ISOLADO;SD;15/06/1962 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;MILITAR REFORMADO;SUPLENTE
CURITIBA;20700;CARLOS ALBERTO DUARTE QUEIROZ FILHO;APTO;DEFERIDO;PARTIDO ISOLADO;20;PSC;PARTIDO SOCIAL CRISTÃO;PARTIDO ISOLADO;PSC;11/06/1983 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO FUNDAMENTAL;SUPLENTE
CURITIBA;51156;LUCAS TADEU VIEIRA NOVAES;APTO;DEFERIDO;PARTIDO ISOLADO;51;PEN;PARTIDO ECOLÓGICO NACIONAL;PARTIDO ISOLADO;PEN;22/03/1985 00:00;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;COMERCIANTE;NÃO ELEITO
CURITIBA;51120;JILDEMA PEREIRA DE SOUZA;APTO;DEFERIDO;PARTIDO ISOLADO;51;PEN;PARTIDO ECOLÓGICO NACIONAL;PARTIDO ISOLADO;PEN;16/03/1972 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;COMERCIANTE;NÃO ELEITO
CURITIBA;77777;JOAO RAFAEL RAMOS IENSEN;APTO;DEFERIDO;PARTIDO ISOLADO;77;SD;SOLIDARIEDADE;PARTIDO ISOLADO;SD;09/06/1981 00:00;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;19888;SILENE FARIA SANTOS;APTO;DEFERIDO;PARTIDO ISOLADO;19;PTN;PARTIDO TRABALHISTA NACIONAL;PARTIDO ISOLADO;PTN;08/06/1963 00:00;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;PEDAGOGO;SUPLENTE
CURITIBA;23063;ZILTON MAXIMO DA SILVA;APTO;DEFERIDO;PARTIDO ISOLADO;23;PPS;PARTIDO POPULAR SOCIALISTA;PARTIDO ISOLADO;PPS;18/01/1960 00:00;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);AMARELA;OUTROS;SUPLENTE
CURITIBA;31123;PRISCILA FABIANA PAES DA SILVA;APTO;DEFERIDO;PARTIDO ISOLADO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PARTIDO ISOLADO;PHS;23/09/1986 00:00;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;NÃO ELEITO
CURITIBA;14666;MANUEL MARQUES TEODORO;APTO;DEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PTB;19/02/1961 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;CABELEIREIRO E BARBEIRO;SUPLENTE
CURITIBA;43843;DANIEL CUNHA RIBEIRO;APTO;DEFERIDO;PARTIDO ISOLADO;43;PV;PARTIDO VERDE;PARTIDO ISOLADO;PV;16/10/1978 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;SUPLENTE
CURITIBA;18222;KAUANNA GATTAZ;APTO;DEFERIDO;COLIGAÇÃO;18;REDE;REDE SUSTENTABILIDADE;CURITIBA JUSTA E SUSTENTAVEL;PMDB / REDE;11/03/1987 00:00;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;REPRESENTANTE COMERCIAL;SUPLENTE
CURITIBA;43437;MARCO AURÉLIO GOMES BOEING;INAPTO;INDEFERIDO;PARTIDO ISOLADO;43;PV;PARTIDO VERDE;PARTIDO ISOLADO;PV;06/12/1968 00:00;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO MUNICIPAL;#NULO#
CURITIBA;28128;MARCOS ANDRÉ FERREIRA DO NASCIMENTO;APTO;DEFERIDO;PARTIDO ISOLADO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PRTB;08/07/1968 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;OUTROS;NÃO ELEITO
CURITIBA;77000;JOSE MARIA ALVES PEREIRA;APTO;DEFERIDO;PARTIDO ISOLADO;77;SD;SOLIDARIEDADE;PARTIDO ISOLADO;SD;22/07/1958 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;VEREADOR;SUPLENTE
CURITIBA;55557;LUCIANO ARRUDA;APTO;DEFERIDO;PARTIDO ISOLADO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PARTIDO ISOLADO;PSD;01/07/1971 00:00;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;SUPLENTE
CURITIBA;13611;SALETE BAGOLIN BEZ;APTO;DEFERIDO;PARTIDO ISOLADO;13;PT;PARTIDO DOS TRABALHADORES;PARTIDO ISOLADO;PT;25/11/1972 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;HISTORIADOR;SUPLENTE
CURITIBA;50000;LUCCAS DANNIEL MAIER CECHETTO;APTO;DEFERIDO;COLIGAÇÃO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;Frente de Esquerda;PSOL / PCB;07/11/1987 00:00;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;NÃO ELEITO
CURITIBA;44833;LUIZ CARLOS DOS SANTOS;APTO;DEFERIDO;PARTIDO ISOLADO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PARTIDO ISOLADO;PRP;10/01/1968 00:00;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PARDA;ESTIVADOR, CARREGADOR E ASSEMELHADOS;SUPLENTE
CURITIBA;12024;ELZA FRANCISCA JAIME;APTO;DEFERIDO;COLIGAÇÃO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PDT-PRB;PDT / PRB;24/02/1948 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;19321;LUILSON LUIZ DE MELO;APTO;DEFERIDO;PARTIDO ISOLADO;19;PTN;PARTIDO TRABALHISTA NACIONAL;PARTIDO ISOLADO;PTN;23/12/1964 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;SUPLENTE
CURITIBA;17100;DIRCEU MOREIRA CARRIEL;APTO;DEFERIDO;PARTIDO ISOLADO;17;PSL;PARTIDO SOCIAL LIBERAL;PARTIDO ISOLADO;PSL;13/07/1969 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;VEREADOR;NÃO ELEITO
CURITIBA;12108;JORGE GOMES DE OLIVEIRA BRAND;APTO;DEFERIDO;COLIGAÇÃO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PDT-PRB;PDT / PRB;05/11/1979 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;ELEITO POR MÉDIA
CURITIBA;90111;VALTER CARLOS DA SILVA;APTO;DEFERIDO;PARTIDO ISOLADO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PARTIDO ISOLADO;PROS;04/10/1972 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;ADMINISTRADOR;SUPLENTE
CURITIBA;55122;IARA DO ROCIO VAZ;APTO;DEFERIDO;PARTIDO ISOLADO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PARTIDO ISOLADO;PSD;19/09/1957 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;POLICIAL CIVIL;SUPLENTE
CURITIBA;15999;HASIEL DA SILVA PEREIRA FILHO;APTO;DEFERIDO;COLIGAÇÃO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;CURITIBA JUSTA E SUSTENTAVEL;PMDB / REDE;15/06/1948 00:00;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PRETA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);SUPLENTE
CURITIBA;90999;LUIZ CARLOS CASAGRANDE;APTO;DEFERIDO;PARTIDO ISOLADO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PARTIDO ISOLADO;PROS;10/10/1946 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;ADMINISTRADOR;SUPLENTE
CURITIBA;44678;MARCOS SAAB;APTO;DEFERIDO;PARTIDO ISOLADO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PARTIDO ISOLADO;PRP;20/06/1967 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ENGENHEIRO;SUPLENTE
CURITIBA;50510;DOUGLAS WILLIAM GONÇALVES REZENDE;APTO;DEFERIDO;COLIGAÇÃO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;Frente de Esquerda;PSOL / PCB;21/05/1975 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO MÉDIO;NÃO ELEITO
CURITIBA;31234;RICARDO KREISS NETO;APTO;DEFERIDO;PARTIDO ISOLADO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PARTIDO ISOLADO;PHS;14/03/1957 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;NÃO ELEITO
CURITIBA;13333;MARCIO NIKOSKA;APTO;DEFERIDO;PARTIDO ISOLADO;13;PT;PARTIDO DOS TRABALHADORES;PARTIDO ISOLADO;PT;26/03/1981 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;BANCÁRIO E ECONOMIÁRIO;SUPLENTE
CURITIBA;43431;CARLOS FERREIRA DE SOUZA;APTO;DEFERIDO;PARTIDO ISOLADO;43;PV;PARTIDO VERDE;PARTIDO ISOLADO;PV;18/09/1956 00:00;MASCULINO;ENSINO MÉDIO INCOMPLETO;DIVORCIADO(A);PARDA;EMPRESÁRIO;SUPLENTE
CURITIBA;55;JOÃO GUILHERME OLIVEIRA DE MORAES;APTO;DEFERIDO;COLIGAÇÃO;20;PSC;PARTIDO SOCIAL CRISTÃO;CORRENTE DO BEM;PSC / PSD / PEN / PTC / PPL / PC do B / PSL;10/09/1973 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MÉDICO;NÃO ELEITO
CURITIBA;22007;ELZA OLIVEIRA DE ALCANTARA;INAPTO;RENÚNCIA;COLIGAÇÃO;22;PR;PARTIDO DA REPÚBLICA;VEREADORES RENOVA CURITIBA;PP / PR / PMB;22/09/1956 00:00;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);#NULO#
CURITIBA;12012;VALMOR ALVES DOS SANTOS;INAPTO;INDEFERIDO;COLIGAÇÃO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PDT-PRB;PDT / PRB;18/02/1964 00:00;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);PARDA;CANTOR E COMPOSITOR;#NULO#
CURITIBA;50007;JOSÉ CARLOS DOS SANTOS;APTO;DEFERIDO;COLIGAÇÃO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;Frente de Esquerda;PSOL / PCB;17/07/1980 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO ESTADUAL;NÃO ELEITO
CURITIBA;23332;ROSANA VASELECHEN CHAVES;APTO;DEFERIDO;PARTIDO ISOLADO;23;PPS;PARTIDO POPULAR SOCIALISTA;PARTIDO ISOLADO;PPS;05/01/1970 00:00;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;36999;BILAL BRAYTIH;APTO;DEFERIDO;COLIGAÇÃO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;CURITIBA MAIS FORTE;PTC / PPL / PC do B;27/08/1972 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;NÃO ELEITO
CURITIBA;19057;ACIR FERMINO DA SILVA;APTO;DEFERIDO;PARTIDO ISOLADO;19;PTN;PARTIDO TRABALHISTA NACIONAL;PARTIDO ISOLADO;PTN;31/10/1957 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;SUPLENTE
CURITIBA;19210;MARIA DE FÁTIMA SADDOCK PEREIRA;APTO;DEFERIDO;PARTIDO ISOLADO;19;PTN;PARTIDO TRABALHISTA NACIONAL;PARTIDO ISOLADO;PTN;23/05/1953 00:00;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;ASSISTENTE SOCIAL;SUPLENTE
CURITIBA;55234;CELSO GOMES DE CARVALHO;APTO;DEFERIDO;PARTIDO ISOLADO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PARTIDO ISOLADO;PSD;11/02/1967 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;AGENTE ADMINISTRATIVO;SUPLENTE
CURITIBA;55226;AIRTON SILVA;APTO;DEFERIDO;PARTIDO ISOLADO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PARTIDO ISOLADO;PSD;16/03/1935 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);SUPLENTE
CURITIBA;77444;RICARDO NAZARENO CAMPELO SIQUEIRA;APTO;DEFERIDO;PARTIDO ISOLADO;77;SD;SOLIDARIEDADE;PARTIDO ISOLADO;SD;27/10/1968 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;OUTROS;SUPLENTE
CURITIBA;28004;MARCOS ANTONIO;APTO;DEFERIDO;PARTIDO ISOLADO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PRTB;03/10/1967 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;COMERCIANTE;NÃO ELEITO
CURITIBA;90477;HIAGO PEREIRA CARDOSO;APTO;DEFERIDO;PARTIDO ISOLADO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PARTIDO ISOLADO;PROS;22/07/1993 00:00;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;SUPLENTE
CURITIBA;50;XÊNIA KAROLINE MELLO;APTO;DEFERIDO;COLIGAÇÃO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;Frente de Esquerda;PSOL / PCB;17/01/1985 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);PRETA;TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO;NÃO ELEITO
CURITIBA;15222;VILMA CTISTINA LOURENCO;APTO;DEFERIDO;COLIGAÇÃO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;CURITIBA JUSTA E SUSTENTAVEL;PMDB / REDE;25/03/1979 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PEDAGOGO;SUPLENTE
CURITIBA;17500;TIAGO ROBERTO SERENATO;APTO;DEFERIDO;PARTIDO ISOLADO;17;PSL;PARTIDO SOCIAL LIBERAL;PARTIDO ISOLADO;PSL;30/06/1989 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;COZINHEIRO;NÃO ELEITO
CURITIBA;14345;MARCIO RENATO BULLESSICH;APTO;DEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PTB;22/05/1965 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;COMERCIANTE;SUPLENTE
CURITIBA;14033;FATIMA MARTINS DOS SANTOS;APTO;DEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PTB;20/06/1964 00:00;FEMININO;SUPERIOR COMPLETO;VIÚVO(A);BRANCA;PEDAGOGO;SUPLENTE
CURITIBA;77852;SUELEN FAGUNDES DE ASSIS;APTO;DEFERIDO;PARTIDO ISOLADO;77;SD;SOLIDARIEDADE;PARTIDO ISOLADO;SD;16/03/1986 00:00;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;SUPLENTE
